iter	Passed	Remaining
453	1008	1212
454	1008	1208
455	1009	1204
456	1010	1200
457	1010	1196
458	1011	1192
459	1011	1187
460	1012	1183
461	1013	1179
462	1013	1175
463	1014	1171
464	1014	1167
465	1015	1163
466	1015	1159
467	1016	1155
468	1016	1151
469	1017	1147
470	1017	1143
471	1018	1139
472	1019	1135
473	1019	1131
474	1020	1127
475	1020	1123
476	1021	1119
477	1021	1115
478	1022	1111
479	1022	1108
480	1023	1104
481	1023	1100
482	1024	1096
483	1025	1092
484	1025	1089
485	1026	1085
486	1026	1081
487	1027	1077
488	1027	1074
489	1028	1070
490	1028	1066
491	1029	1062
492	1029	1059
493	1030	1055
494	1031	1051
495	1031	1048
496	1032	1044
497	1032	1041
498	1033	1037
499	1033	1033
500	1034	1030
501	1034	1026
502	1035	1023
503	1035	1019
504	1036	1015
505	1037	1012
506	1037	1009
507	1038	1005
508	1038	1002
509	1039	998
510	1039	995
511	1040	991
512	1040	988
513	1041	984
514	1041	981
515	1042	977
516	1043	974
517	1043	971
518	1044	967
519	1044	964
520	1045	960
521	1045	957
522	1046	954
523	1046	950
524	1047	947
525	1047	944
526	1048	941
527	1049	937
528	1049	934
529	1050	931
530	1050	928
531	1051	924
532	1051	921
533	1052	918
534	1052	915
535	1053	911
536	1053	908
537	1054	905
538	1055	902
539	1055	899
540	1056	896
541	1056	892
542	1057	889
543	1057	886
544	1058	883
545	1058	880
546	1059	877
547	1059	874
548	1060	871
549	1060	868
550	1061	864
551	1062	862
552	1062	859
553	1063	856
554	1064	853
555	1064	850
556	1065	847
557	1065	844
558	1066	841
559	1066	838
560	1067	835
561	1067	832
562	1068	829
563	1069	826
564	1069	823
565	1070	820
566	1070	817
567	1071	814
568	1071	811
569	1072	808
570	1072	805
571	1073	803
572	1073	800
573	1074	797
574	1075	794
575	1075	791
576	1076	788
577	1076	786
578	1077	783
579	1077	780
580	1078	777
581	1078	774
582	1079	772
583	1079	769
584	1080	766
585	1081	763
586	1081	761
587	1082	758
588	1082	755
589	1083	752
590	1083	750
591	1084	747
592	1084	744
593	1085	741
594	1085	739
595	1086	736
596	1086	733
597	1087	731
598	1088	728
599	1088	725
600	1089	723
601	1089	720
602	1090	717
603	1091	715
604	1091	712
605	1092	710
606	1092	707
607	1093	704
608	1093	702
609	1094	699
610	1095	697
611	1095	694
612	1096	692
613	1096	689
614	1097	686
615	1097	684
616	1098	681
617	1098	679
618	1099	676
619	1099	674
620	1100	671
621	1101	669
622	1101	666
623	1102	664
624	1102	661
625	1103	659
626	1103	656
627	1104	654
628	1105	651
629	1105	649
630	1106	646
631	1106	644
632	1107	641
633	1107	639
634	1108	637
635	1108	634
636	1109	632
637	1109	629
638	1110	627
639	1111	624
640	1111	622
641	1112	620
642	1112	617
643	1113	615
644	1113	613
645	1114	610
646	1114	608
647	1115	605
648	1115	603
649	1116	601
650	1117	598
651	1117	596
652	1118	594
653	1118	591
654	1119	589
655	1119	587
656	1120	584
657	1120	582
658	1121	580
659	1122	578
660	1122	575
661	1123	573
662	1124	571
663	1124	569
664	1125	566
665	1126	564
666	1126	562
667	1127	560
668	1128	558
669	1128	556
670	1129	553
671	1130	551
672	1130	549
673	1131	547
674	1131	544
675	1132	542
676	1132	540
677	1133	538
678	1134	536
679	1134	534
680	1135	531
681	1136	529
682	1136	527
683	1137	525
684	1138	523
685	1138	521
686	1139	518
687	1139	516
688	1140	514
689	1140	512
690	1141	510
691	1141	508
692	1142	506
693	1142	503
694	1143	501
695	1144	499
696	1144	497
697	1145	495
698	1145	493
699	1146	491
700	1146	489
701	1147	486
702	1147	484
703	1148	482
704	1149	480
705	1149	478
706	1150	476
707	1150	474
708	1151	472
709	1151	470
710	1152	468
711	1152	466
712	1153	464
713	1153	462
714	1154	460
715	1155	458
716	1155	456
717	1156	454
718	1156	452
719	1157	450
720	1157	448
721	1158	446
722	1158	444
723	1159	442
724	1159	439
725	1160	437
726	1161	436
727	1161	434
728	1162	432
729	1162	430
730	1163	428
731	1163	426
732	1164	424
733	1164	422
734	1165	420
735	1165	418
736	1166	416
737	1167	414
738	1167	412
739	1168	410
740	1168	408
741	1169	406
742	1169	404
743	1170	402
744	1171	400
745	1171	398
746	1172	396
747	1172	395
748	1173	393
749	1173	391
750	1174	389
751	1174	387
752	1175	385
753	1175	383
754	1176	381
755	1177	379
756	1177	377
757	1178	376
758	1178	374
759	1179	372
760	1179	370
761	1180	368
762	1180	366
763	1181	364
764	1181	363
765	1182	361
766	1183	359
767	1183	357
768	1184	355
769	1184	353
770	1185	352
771	1186	350
772	1186	348
773	1187	346
774	1187	344
775	1188	342
776	1188	341
777	1189	339
778	1189	337
779	1190	335
780	1191	333
781	1191	332
782	1192	330
783	1192	328
784	1193	326
785	1193	325
786	1194	323
787	1194	321
788	1195	319
789	1195	317
